Data;Semana;Baia;Animal;Periodo;Horario;Bloco;Tratamento;Enriquecimento;Sexo;Etograma
29/04/2019;1;11;79;tarde;12:00;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;12;22;tarde;12:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;13;59;tarde;12:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;14;67;tarde;12:00;pesado;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;15;450;tarde;12:00;leve;T5;Corda;Femea;Calmo
29/04/2019;1;16;431;tarde;12:00;leve;T1;Corrente;Macho;Calmo
29/04/2019;1;17;56;tarde;12:00;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;18;144;tarde;12:00;leve;T5;Corda;Femea;Inter. objeto
29/04/2019;1;19;62;tarde;12:00;leve;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;20;423;tarde;12:00;leve;T2;Corda;Macho;Calmo
29/04/2019;1;21;265;tarde;12:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;22;477;tarde;12:00;leve;T1;Corrente;Macho;Calmo
29/04/2019;1;23;289;tarde;12:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;24;111;tarde;12:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;25;153;tarde;12:00;leve;T6;Nenhum;Femea;Inter. animal 
29/04/2019;1;26;370;tarde;12:00;leve;T2;Corda;Macho;Alimentando
29/04/2019;1;27;392;tarde;12:00;medio;T2;Corda;Macho;Inter. meio amb. 
29/04/2019;1;28;414;tarde;12:00;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;29;125;tarde;12:00;medio;T5;Corda;Femea;Calmo
29/04/2019;1;30;257;tarde;12:00;medio;T3;Nenhum;Macho;Inter. meio amb. 
29/04/2019;1;31;334;tarde;12:00;medio;T1;Corrente;Macho;Inter. meio amb. 
29/04/2019;1;32;250;tarde;12:00;medio;T3;Nenhum;Macho;Inter. meio amb. 
29/04/2019;1;33;282;tarde;12:00;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;34;465;tarde;12:00;medio;T2;Corda;Macho;Inter. objeto
29/04/2019;1;35;31;tarde;12:00;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;36;175;tarde;12:00;medio;T5;Corda;Femea;Calmo
29/04/2019;1;37;94;tarde;12:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;38;92;tarde;12:00;medio;T6;Nenhum;Femea;Alimentando
29/04/2019;1;43;8;tarde;12:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;44;115;tarde;12:00;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;45;192;tarde;12:00;pesado;T5;Corda;Femea;
29/04/2019;1;46;93;tarde;12:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;47;387;tarde;12:00;pesado;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;48;439;tarde;12:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;49;355;tarde;12:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;50;309;tarde;12:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;51;167;tarde;12:00;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;52;460;tarde;12:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;53;333;tarde;12:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;54;466;tarde;12:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;55;330;tarde;12:00;leve;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;56;286;tarde;12:00;leve;T2;Corda;Macho;Calmo
29/04/2019;1;57;398;tarde;12:00;leve;T2;Corda;Macho;Calmo
29/04/2019;1;58;474;tarde;12:00;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;59;247;tarde;12:00;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;60;119;tarde;12:00;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;61;35;tarde;12:00;leve;T5;Corda;Femea;Calmo
29/04/2019;1;62;373;tarde;12:00;leve;T3;Nenhum;Macho;Inter. animal 
29/04/2019;1;63;197;tarde;12:00;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;64;132;tarde;12:00;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;65;243;tarde;12:00;leve;T1;Corrente;Macho;Calmo
29/04/2019;1;66;1;tarde;12:00;leve;T5;Corda;Femea;Inter. animal 
29/04/2019;1;67;7;tarde;12:00;medio;T5;Corda;Femea;Inter. meio amb. 
29/04/2019;1;68;429;tarde;12:00;medio;T2;Corda;Macho;Calmo
29/04/2019;1;69;329;tarde;12:00;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;70;49;tarde;12:00;medio;T5;Corda;Femea;Calmo
29/04/2019;1;71;172;tarde;12:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;72;135;tarde;12:00;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;73;173;tarde;12:00;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;74;328;tarde;12:00;medio;T2;Corda;Macho;Calmo
29/04/2019;1;75;426;tarde;12:00;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;76;189;tarde;12:00;medio;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;77;259;tarde;12:00;medio;T3;Nenhum;Macho;Inter. meio amb. 
29/04/2019;1;78;396;tarde;12:00;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;3;350;tarde;12:30;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;4;310;tarde;12:30;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;5;482;tarde;12:30;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;6;201;tarde;12:30;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;7;24;tarde;12:30;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;8;360;tarde;12:30;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;9;378;tarde;12:30;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;10;447;tarde;12:30;pesado;T1;Corrente;Macho;Inter. meio amb. 
29/04/2019;1;11;79;tarde;12:30;pesado;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;12;22;tarde;12:30;pesado;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;13;59;tarde;12:30;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;14;67;tarde;12:30;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;15;450;tarde;12:30;leve;T5;Corda;Femea;Calmo
29/04/2019;1;16;431;tarde;12:30;leve;T1;Corrente;Macho;Inter. animal 
29/04/2019;1;17;56;tarde;12:30;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;18;144;tarde;12:30;leve;T5;Corda;Femea;Calmo
29/04/2019;1;19;62;tarde;12:30;leve;T4;Corrente;Femea;Inter. objeto
29/04/2019;1;20;423;tarde;12:30;leve;T2;Corda;Macho;Inter. objeto
29/04/2019;1;21;265;tarde;12:30;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;22;477;tarde;12:30;leve;T1;Corrente;Macho;Calmo
29/04/2019;1;23;289;tarde;12:30;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;24;111;tarde;12:30;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;25;153;tarde;12:30;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;26;370;tarde;12:30;leve;T2;Corda;Macho;Calmo
29/04/2019;1;27;392;tarde;12:30;medio;T2;Corda;Macho;Calmo
29/04/2019;1;28;414;tarde;12:30;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;29;125;tarde;12:30;medio;T5;Corda;Femea;Calmo
29/04/2019;1;30;257;tarde;12:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;31;334;tarde;12:30;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;32;250;tarde;12:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;33;282;tarde;12:30;medio;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;34;465;tarde;12:30;medio;T2;Corda;Macho;Inter. meio amb. 
29/04/2019;1;35;31;tarde;12:30;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;36;175;tarde;12:30;medio;T5;Corda;Femea;Calmo
29/04/2019;1;37;94;tarde;12:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;38;92;tarde;12:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;43;8;tarde;12:30;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;44;115;tarde;12:30;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;45;192;tarde;12:30;pesado;T5;Corda;Femea;
29/04/2019;1;46;93;tarde;12:30;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;47;387;tarde;12:30;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;48;439;tarde;12:30;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;49;355;tarde;12:30;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;50;309;tarde;12:30;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;51;167;tarde;12:30;pesado;T5;Corda;Femea;Calmo
29/04/2019;1;52;460;tarde;12:30;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;53;333;tarde;12:30;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;54;466;tarde;12:30;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;55;330;tarde;12:30;leve;T6;Nenhum;Femea;Alimentando
29/04/2019;1;56;286;tarde;12:30;leve;T2;Corda;Macho;Calmo
29/04/2019;1;57;398;tarde;12:30;leve;T2;Corda;Macho;Calmo
29/04/2019;1;58;474;tarde;12:30;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;59;247;tarde;12:30;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;60;119;tarde;12:30;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;61;35;tarde;12:30;leve;T5;Corda;Femea;Calmo
29/04/2019;1;62;373;tarde;12:30;leve;T3;Nenhum;Macho;Calmo
29/04/2019;1;63;197;tarde;12:30;leve;T4;Corrente;Femea;Calmo
29/04/2019;1;64;132;tarde;12:30;leve;T6;Nenhum;Femea;Calmo
29/04/2019;1;65;243;tarde;12:30;leve;T1;Corrente;Macho;Inter. objeto
29/04/2019;1;66;1;tarde;12:30;leve;T5;Corda;Femea;Calmo
29/04/2019;1;67;7;tarde;12:30;medio;T5;Corda;Femea;Calmo
29/04/2019;1;68;429;tarde;12:30;medio;T2;Corda;Macho;Calmo
29/04/2019;1;69;329;tarde;12:30;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;70;49;tarde;12:30;medio;T5;Corda;Femea;Calmo
29/04/2019;1;71;172;tarde;12:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;72;135;tarde;12:30;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;73;173;tarde;12:30;medio;T6;Nenhum;Femea;Calmo
29/04/2019;1;74;328;tarde;12:30;medio;T2;Corda;Macho;Calmo
29/04/2019;1;75;426;tarde;12:30;medio;T1;Corrente;Macho;Calmo
29/04/2019;1;76;189;tarde;12:30;medio;T4;Corrente;Femea;Calmo
29/04/2019;1;77;259;tarde;12:30;medio;T3;Nenhum;Macho;Calmo
29/04/2019;1;78;396;tarde;12:30;medio;T3;Nenhum;Macho;Inter. meio amb. 
29/04/2019;1;3;350;tarde;13:00;pesado;T2;Corda;Macho;Calmo
29/04/2019;1;4;310;tarde;13:00;pesado;T1;Corrente;Macho;Inter. meio amb. 
29/04/2019;1;5;482;tarde;13:00;pesado;T3;Nenhum;Macho;Calmo
29/04/2019;1;6;201;tarde;13:00;pesado;T3;Nenhum;Macho;Inter. animal 
29/04/2019;1;7;24;tarde;13:00;pesado;T5;Corda;Femea;Alimentando
29/04/2019;1;8;360;tarde;13:00;pesado;T2;Corda;Macho;Inter. objeto
29/04/2019;1;9;378;tarde;13:00;pesado;T6;Nenhum;Femea;Calmo
29/04/2019;1;10;447;tarde;13:00;pesado;T1;Corrente;Macho;Calmo
29/04/2019;1;11;79;tarde;13:00;pesado;T6;Nenhum;Femea;Inter. meio amb. 
29/04/2019;1;12;22;tarde;13:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;13;59;tarde;13:00;pesado;T4;Corrente;Femea;Calmo
29/04/2019;1;14;67;tarde;13:00;pesado;T5;Corda;Femea;Calmo
