"","Parameter","average","lower","mode","higher","Category","Covariate","Time"
"beta[6,3,3]","beta",-0.0747680850924704,-0.257889781706118,-0.0710125277342255,0.106529946556538,"6","3","3"
"beta[7,3,3]","beta",-0.0760409770518308,-0.26698596495344,-0.0753547740030778,0.122262812918956,"7","3","3"
"beta[1,4,3]","beta",0.289344717783963,0.116358887975303,0.293120225453232,0.455071654552923,"1","4","3"
"beta[2,4,3]","beta",0.0670419499013735,-0.114403734465798,0.0657367321587295,0.256752836732723,"2","4","3"
"beta[3,4,3]","beta",-0.0813960746414156,-0.264314928569959,-0.0846229693409804,0.113462476025535,"3","4","3"
"beta[4,4,3]","beta",-0.0690716641161628,-0.25625630143921,-0.0701308231513258,0.121746337984864,"4","4","3"
"beta[5,4,3]","beta",-0.0694269321219302,-0.26796231114214,-0.0705937234074722,0.118658743783233,"5","4","3"
"beta[6,4,3]","beta",-0.0702561825236024,-0.253446698011518,-0.070238400426989,0.127319586141725,"6","4","3"
"beta[7,4,3]","beta",-0.0675963760429807,-0.259103460231485,-0.0690681064870697,0.118110323722743,"7","4","3"
"beta[1,5,3]","beta",0.716492570591074,0.556112522190148,0.714467225720404,0.879058118039993,"1","5","3"
"beta[2,5,3]","beta",0.317172304033201,0.15009158423766,0.313208708850828,0.482098383193892,"2","5","3"
"beta[3,5,3]","beta",-0.0316502705038415,-0.211180483863014,-0.0291198147531241,0.146357334853449,"3","5","3"
"beta[4,5,3]","beta",-0.236485105491709,-0.423082366960921,-0.231908310341118,-0.0627320145842017,"4","5","3"
"beta[5,5,3]","beta",-0.255864921371043,-0.436136483065299,-0.258047034734402,-0.0827093057461826,"5","5","3"
"beta[6,5,3]","beta",-0.25851075658771,-0.447066934180782,-0.260035773998224,-0.0716082621536085,"6","5","3"
"beta[7,5,3]","beta",-0.254938073098096,-0.440225601647759,-0.254081945975483,-0.0778532302651588,"7","5","3"
"beta[1,6,3]","beta",0.722030881699454,0.557028990333582,0.722036868149503,0.885636664608368,"1","6","3"
"beta[2,6,3]","beta",0.317534509896798,0.142868512122304,0.318074042349247,0.487659106528016,"2","6","3"
"beta[3,6,3]","beta",-0.0291531777013752,-0.199235992395201,-0.0299912963326416,0.142341425956978,"3","6","3"
"beta[4,6,3]","beta",-0.245778854257576,-0.421367960560998,-0.24634405908433,-0.0616798364358457,"4","6","3"
"beta[5,6,3]","beta",-0.254431649726802,-0.432938685260609,-0.252956246997747,-0.071276314740093,"5","6","3"
"beta[6,6,3]","beta",-0.252745752035685,-0.435141881348938,-0.251325868540892,-0.0723219862662375,"6","6","3"
"beta[7,6,3]","beta",-0.257710919771161,-0.444090688953419,-0.2579040937732,-0.07262248230336,"7","6","3"
"beta[1,7,3]","beta",0.175636038180605,-0.0025867207559302,0.179311306254523,0.347921022838655,"1","7","3"
"beta[2,7,3]","beta",0.121453131383718,-0.0507025323409233,0.121693625669866,0.289099055922814,"2","7","3"
"beta[3,7,3]","beta",0.0113174366558158,-0.182721326964677,0.011639890603977,0.21166569508726,"3","7","3"
"beta[4,7,3]","beta",-0.078227299555574,-0.266850975702997,-0.0790626932872798,0.131864326407319,"4","7","3"
"beta[5,7,3]","beta",-0.0807445899671722,-0.278725821995994,-0.0769739399901122,0.10875884970165,"5","7","3"
"beta[6,7,3]","beta",-0.0735004799341013,-0.262234133627356,-0.0730982857264458,0.113646035554622,"6","7","3"
"beta[7,7,3]","beta",-0.0702290577732075,-0.263522244587917,-0.0700976275752048,0.121019444510092,"7","7","3"
"beta[1,8,3]","beta",0.285455116198806,0.0934176407855427,0.285412635860627,0.45987324242974,"1","8","3"
"beta[2,8,3]","beta",0.0680905770501968,-0.129779543832094,0.0680916500446093,0.250380390147457,"2","8","3"
"beta[3,8,3]","beta",-0.0798781532773931,-0.265540409558251,-0.0776935364969472,0.119770745495443,"3","8","3"
"beta[4,8,3]","beta",-0.0779818591925084,-0.272017330632697,-0.0750775117570892,0.105710982576037,"4","8","3"
"beta[5,8,3]","beta",-0.0684555441860501,-0.253640630597517,-0.0686290702984325,0.134068767492276,"5","8","3"
"beta[6,8,3]","beta",-0.0665612309352171,-0.257511882765035,-0.0640783661645048,0.11821608251575,"6","8","3"
"beta[7,8,3]","beta",-0.0701161811536294,-0.261807612363993,-0.0721505260720781,0.121843972566133,"7","8","3"
"beta[1,1,4]","beta",0.228227877220952,0.0661470929449531,0.225115504294766,0.401612881083906,"1","1","4"
"beta[2,1,4]","beta",0.0832588653566279,-0.0884862384164491,0.0820151021120156,0.267716444155412,"2","1","4"
"beta[3,1,4]","beta",-0.00851792909185481,-0.184914882871672,-0.00618285890808822,0.167248890128699,"3","1","4"
"beta[4,1,4]","beta",-0.0665810928264695,-0.252275693887713,-0.0669409300007011,0.130058971688786,"4","1","4"
"beta[5,1,4]","beta",-0.0731815335780365,-0.25627681726995,-0.0759335943924396,0.136434331224333,"5","1","4"
"beta[6,1,4]","beta",-0.0769100290552755,-0.256515075311556,-0.0781884620133756,0.121567932550595,"6","1","4"
"beta[7,1,4]","beta",-0.0767091446278885,-0.269308672774106,-0.0742195157354689,0.122256214247445,"7","1","4"
"beta[1,2,4]","beta",0.10559388601619,-0.0570458017174458,0.105918042714076,0.278033034666047,"1","2","4"
"beta[2,2,4]","beta",0.159481469125678,0.000409722280049112,0.155690400770425,0.333642471945954,"2","2","4"
"beta[3,2,4]","beta",0.0531248759270096,-0.122882503647335,0.0486147563522014,0.243293836012647,"3","2","4"
"beta[4,2,4]","beta",-0.0799698549054432,-0.259369340089896,-0.0810081662855561,0.133423203686757,"4","2","4"
"beta[5,2,4]","beta",-0.0842838470194038,-0.272753980876988,-0.0848691927803588,0.103900357617883,"5","2","4"
"beta[6,2,4]","beta",-0.0827182884231986,-0.272093440909159,-0.0822034337650014,0.110905694823619,"6","2","4"
"beta[7,2,4]","beta",-0.0860008497789707,-0.265466589828625,-0.0853358013134083,0.103112682235748,"7","2","4"
"beta[1,3,4]","beta",0.265317548862726,0.0847779286193136,0.263899681560764,0.442075425225904,"1","3","4"
"beta[2,3,4]","beta",0.0646362336250444,-0.109589241713181,0.0677939137591132,0.245313344806246,"2","3","4"
"beta[3,3,4]","beta",-0.0391572386771738,-0.2207860192417,-0.0395447701713237,0.146380665010243,"3","3","4"
"beta[4,3,4]","beta",-0.0733187166088099,-0.25941778304818,-0.0716556159386411,0.116509453001049,"4","3","4"
"beta[5,3,4]","beta",-0.0721155712434312,-0.2581625103929,-0.071461954867736,0.125110562805129,"5","3","4"
"beta[6,3,4]","beta",-0.0718482814898413,-0.264092869523245,-0.0700404428579384,0.108901363076282,"6","3","4"
"beta[7,3,4]","beta",-0.0748237208791874,-0.263563495455929,-0.0731053426012766,0.121210821630086,"7","3","4"
"beta[1,4,4]","beta",0.180258768479756,-0.00893871142268683,0.182634037697947,0.355060573992176,"1","4","4"
"beta[2,4,4]","beta",0.153083185190284,-0.0323348346926586,0.152290725918012,0.338010495427347,"2","4","4"
"beta[3,4,4]","beta",-0.0261836841633906,-0.218357704283763,-0.0270080563742025,0.16004959155136,"3","4","4"
"beta[4,4,4]","beta",-0.0815675081146914,-0.264292374850906,-0.0850896188801271,0.106432075578969,"4","4","4"
"beta[5,4,4]","beta",-0.0799982799810121,-0.271851644361197,-0.0859606174638199,0.109552069865889,"5","4","4"
"beta[6,4,4]","beta",-0.0765552229176968,-0.26677755085389,-0.074141360861083,0.111024785672766,"6","4","4"
"beta[7,4,4]","beta",-0.0776608540273351,-0.268753877065779,-0.0800175702577058,0.117169822139317,"7","4","4"
"beta[1,5,4]","beta",0.69997915406878,0.537640345473934,0.699143715852796,0.855803772259847,"1","5","4"
"beta[2,5,4]","beta",0.328775298950601,0.156807106046338,0.328993154489498,0.499768271399822,"2","5","4"
"beta[3,5,4]","beta",-0.0090476376769071,-0.185877883731233,-0.0105454582491575,0.156318379813175,"3","5","4"
"beta[4,5,4]","beta",-0.230893473273198,-0.407156604288727,-0.228719072217562,-0.0620731109120603,"4","5","4"
"beta[5,5,4]","beta",-0.260248634449084,-0.439967521901176,-0.263746754801724,-0.0808902568280326,"5","5","4"
"beta[6,5,4]","beta",-0.260407947516055,-0.439703115122271,-0.259125483609228,-0.0857018209257787,"6","5","4"
"beta[7,5,4]","beta",-0.259309438294134,-0.423152545382687,-0.25881347047385,-0.0718274521941036,"7","5","4"
"beta[1,6,4]","beta",0.70123338536091,0.529814857181161,0.701834517674533,0.865644382175823,"1","6","4"
"beta[2,6,4]","beta",0.328582198593945,0.15225395108986,0.332751100924072,0.49217264371008,"2","6","4"
"beta[3,6,4]","beta",-0.0166834030292078,-0.201138035253713,-0.0132108955382949,0.15503463487756,"3","6","4"
"beta[4,6,4]","beta",-0.23235528787648,-0.418093418155204,-0.233572231716889,-0.0507711384356245,"4","6","4"
"beta[5,6,4]","beta",-0.25485290807968,-0.450953530261248,-0.252497315232912,-0.0813318353788547,"5","6","4"
"beta[6,6,4]","beta",-0.261383183981696,-0.438952713398034,-0.258468826439662,-0.0860425750709618,"6","6","4"
"beta[7,6,4]","beta",-0.263422171316919,-0.435618842799017,-0.263503624368491,-0.0738445487771995,"7","6","4"
"beta[1,7,4]","beta",0.267458752138556,0.0893771815467266,0.266801697354366,0.439561705819165,"1","7","4"
"beta[2,7,4]","beta",0.0665645419044605,-0.108266532054641,0.0678487956050922,0.243103296231148,"2","7","4"
"beta[3,7,4]","beta",-0.0327955847620014,-0.206827082527057,-0.0332888588415665,0.154601129938876,"3","7","4"
"beta[4,7,4]","beta",-0.07923428103047,-0.271682034473157,-0.0811239693961421,0.112850832586721,"4","7","4"
"beta[5,7,4]","beta",-0.0744117556508581,-0.264708960457316,-0.0767041332362064,0.116818741338719,"5","7","4"
"beta[6,7,4]","beta",-0.0728811853689007,-0.27768221599301,-0.0724703829265876,0.123631868495843,"6","7","4"
"beta[7,7,4]","beta",-0.0770290040400224,-0.264548081876983,-0.0789560110310512,0.109533633847639,"7","7","4"
"beta[1,8,4]","beta",0.182325391856448,0.00436652673243363,0.181834983924254,0.357373801505542,"1","8","4"
"beta[2,8,4]","beta",0.152815945097489,-0.0427385241403959,0.155188125663892,0.333889518465445,"2","8","4"
"beta[3,8,4]","beta",-0.0222783364663045,-0.210140815435584,-0.0209896425637421,0.165439116732059,"3","8","4"
"beta[4,8,4]","beta",-0.0851101122381174,-0.276422450914968,-0.0829478333595958,0.101646430635358,"4","8","4"
"beta[5,8,4]","beta",-0.0773676793234292,-0.268251921152309,-0.0788441022333891,0.110132735979881,"5","8","4"
"beta[6,8,4]","beta",-0.0748214450726184,-0.26541823808369,-0.0698465915616039,0.102911307509116,"6","8","4"
"beta[7,8,4]","beta",-0.0745240406014118,-0.27932388065016,-0.0735234699899765,0.117474444665147,"7","8","4"
"beta[1,1,5]","beta",0.229773557395455,0.0609843814453782,0.229970152858798,0.395497570502201,"1","1","5"
"beta[2,1,5]","beta",0.09840970785575,-0.0847860011361534,0.0966993868865285,0.273526499419675,"2","1","5"
